id,updated,birthDate,birthDateMask,canton,council,dateOfDeathMask,entryDateMask,faction,firstName,function,gender,lastName,leavingDateMask,membership,party,placeOfCitizenship,hasMorePages,dateOfDeath
3867,2022-03-09T20:21:55Z,1958-11-26T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'BE', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 4, 'abbreviation': 'V'}",Andreas,m,m,Aebi,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'UDC', 'name': None}",Wynigen (BE),,
4049,2022-03-09T20:21:55Z,1967-10-18T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'BE', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 2, 'abbreviation': 'S'}",Matthias,m,m,Aebischer,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'PSS', 'name': None}",Guggisberg (BE),,
4053,2022-03-09T20:21:55Z,1979-01-13T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'ZG', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 4, 'abbreviation': 'V'}",Thomas,m,m,Aeschi,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'UDC', 'name': None}","Basel (BS), Himmelried (SO), Baar (ZG)",,
1131,2022-03-09T20:21:55Z,1978-07-16T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'BE', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 2, 'abbreviation': 'S'}",Evi,m,f,Allemann,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'PSS', 'name': None}","Köniz (BE), Welschenrohr (SO)",,
4107,2022-03-09T20:21:55Z,1973-09-14T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'VD', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 2, 'abbreviation': 'S'}",Cesla,m,f,Amarelle,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'PSS', 'name': None}","Winterthur (ZH), Yverdon-les-Bains (VD)",,
4090,2022-03-09T20:21:55Z,1979-03-15T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'GE', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 4, 'abbreviation': 'V'}",Céline,m,f,Amaudruz,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'UDC', 'name': None}",Lutry (VD),,
1288,2022-03-09T20:21:55Z,1962-06-07T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'VS', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 3, 'abbreviation': 'CE'}",Viola,m,f,Amherd,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'PDC', 'name': None}","Mund (VS), Brig-Glis (VS), Zwischbergen (VS), Naters (VS)",,
1135,2022-03-09T20:21:55Z,1953-12-02T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'BE', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 4, 'abbreviation': 'V'}",Adrian,m,m,Amstutz,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2012-01-21T00:00:00Z'}","{'id': 0, 'abbreviation': 'UDC', 'name': None}",Sigriswil (BE),,
1135,2022-03-09T20:21:55Z,1953-12-02T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'BE', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 4, 'abbreviation': 'V'}",Adrian,m,m,Amstutz,YYYY-MM-DD,"{'id': 0, 'entryDate': '2012-01-22T00:00:00Z', 'leavingDate': '2015-11-29T00:00:00Z'}","{'id': 0, 'abbreviation': 'UDC', 'name': None}",Sigriswil (BE),,
3833,2022-03-09T20:21:55Z,1949-04-07T00:00:00Z,YYYY-MM-DD,"{'id': 0, 'abbreviation': 'VD', 'code': 'KAN_0_'}",CN,YYYY-MM-DD,YYYY-MM-DD,"{'id': 2, 'abbreviation': 'S'}",Josiane,m,f,Aubert,YYYY-MM-DD,"{'id': 0, 'entryDate': '2011-12-05T00:00:00Z', 'leavingDate': '2014-06-01T00:00:00Z'}","{'id': 0, 'abbreviation': 'PSS', 'name': None}",Le Chenit (VD),,
