id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,lastName,number,party,partyName,pictureUrl
4154,2020-05-26T10:59:56Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4154,VS,Valais,N,V,Groupe de l'Union démocratique du Centre,Jean-Luc,Membre,www.jladdor.ch,Addor,3055,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3055.jpg
3867,2021-03-03T07:54:54Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3867,BE,Berne,N,V,Groupe de l'Union démocratique du Centre,Andreas,Membre,www.aebi-andreas.ch,Aebi,2670,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2670.jpg
4049,2020-03-04T08:32:37Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4049,BE,Berne,N,S,Groupe socialiste,Matthias,Membre,www.matthiasaebischer.ch,Aebischer,2760,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2760.jpg
4053,2021-04-01T11:38:14Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4053,ZG,Zoug,N,V,Groupe de l'Union démocratique du Centre,Thomas,Président(e),www.aeschi.com,Aeschi,2758,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2758.jpg
4090,2021-09-20T16:37:55Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4090,GE,Genève,N,V,Groupe de l'Union démocratique du Centre,Céline,Membre,,Amaudruz,2796,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2796.jpg
4320,2021-06-16T17:55:53Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4320,VS,Valais,N,S,Groupe socialiste,Emmanuel,Membre,www.emmanuelamoos.ch,Amoos,3217,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3217.jpg
4245,2022-02-16T07:54:29Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4245,FR,Fribourg,N,G,Groupe des VERT-E-S,Gerhard,Membre,gerhard-andrey.ch,Andrey,3137,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3137.jpg
4184,2021-05-26T15:58:19Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4184,BS,Bâle-Ville,N,G,Groupe des VERT-E-S,Sibel,Membre,,Arslan,3058,BastA,Grüne (Basels starke Alternative),http://www.parlament.ch/SiteCollectionImages/profil/225x225/3058.jpg
4304,2019-11-14T18:51:47Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4304,BS,Bâle-Ville,N,S,Groupe socialiste,Mustafa,Membre,www.mustafaatici.ch,Atici,3201,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3201.jpg
4246,2021-02-26T13:29:49Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4246,BE,Berne,N,G,Groupe des VERT-E-S,Christine,Membre,www.christinebadertscher.ch,Badertscher,3138,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3138.jpg
4058,2019-10-22T15:15:34Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4058,ZH,Zurich,N,S,Groupe socialiste,Jacqueline,Membre,www.badran.ch,Badran,2762,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2762.jpg
4203,2019-12-18T10:07:32Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4203,ZH,Zurich,N,S,Groupe socialiste,Angelo,Membre,www.barrile.ch,Barrile,3104,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3104.jpg
4247,2019-10-30T09:38:37Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4247,BE,Berne,N,G,Groupe des VERT-E-S,Kilian,Membre,www.kilianbaumann.ch,Baumann,3139,VERT-E-S,Les VERT-E-S suisses,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3139.jpg
1138,2020-02-27T11:10:31Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1138,ZH,Zurich,N,GL,Groupe vert'libéral,Martin,Membre,martin-baeumle.ch,Bäumle,2585,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2585.jpg
4248,2021-09-22T17:34:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4248,ZH,Zurich,N,GL,Groupe vert'libéral,Judith,Membre,www.judithbellaiche.ch,Bellaiche,3140,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3140.jpg
4213,2020-11-23T12:06:44Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4213,VD,Vaud,N,S,Groupe socialiste,Samuel,Membre,,Bendahan,3114,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3114.jpg
4102,2021-04-28T11:53:45Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4102,BE,Berne,N,GL,Groupe vert'libéral,Kathrin,Membre,www.kathrinbertschy.ch,Bertschy,3016,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3016.jpg
4249,2019-11-15T16:04:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4249,AG,Argovie,N,M-E,Le Groupe du Centre. Le Centre. PEV.,Marianne,Membre,www.mariannebinder.ch,Binder-Keller,3141,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3141.jpg
4250,2019-12-13T14:06:45Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4250,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Martina,Membre,www.martina-bircher.ch,Bircher,3142,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3142.jpg
