id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,lastName,number,party,partyName,pictureUrl
4187,2022-01-12T08:09:51Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4187,NE,Neuchâtel,S,RL,Groupe libéral-radical,Philippe,Membre,www.avocatsneuchatel.ch,Bauer,3059,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3059.jpg
4238,2019-11-15T12:27:49Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4238,JU,Jura,S,S,Groupe socialiste,Elisabeth,Membre,elisabethbaume.ch,Baume-Schneider,3193,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3193.jpg
3871,2020-05-15T10:29:47Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3871,SO,Soleure,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Pirmin,Vice-président(e),www.pirmin-bischof.ch,Bischof,2674,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2674.jpg
4189,2021-12-06T08:17:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4189,AG,Argovie,S,RL,Groupe libéral-radical,Thierry,Membre,www.thierry-burkart.ch,Burkart,3065,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3065.jpg
3830,2022-01-18T08:04:25Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3830,TI,Tessin,S,S,Groupe socialiste,Marina,Membre,www.marinacarobbio.ch,Carobbio Guscetti,2666,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2666.jpg
4075,2019-12-13T15:57:09Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4075,AR,Appenzell Rh.-Ext.,S,RL,Groupe libéral-radical,Andrea,Membre,www.andrea-caroni.ch,Caroni,2775,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2775.jpg
4325,2022-01-18T09:11:09Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4325,FR,Fribourg,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Isabelle,Membre,www.isabellechassot.ch,Chassot,3220,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3220.jpg
4159,2020-12-04T10:58:11Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4159,TI,Tessin,S,V,Groupe de l'Union démocratique du Centre,Marco,Membre,www.marcochiesa.ch,Chiesa,3067,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3067.jpg
4151,2020-02-14T15:26:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4151,UR,Uri,S,RL,Groupe libéral-radical,Josef,Membre,www.josef-dittli.ch,Dittli,3052,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3052.jpg
4055,2019-10-22T15:31:07Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4055,GR,Grisons,S,M-E,Le Groupe du Centre. Le Centre. PEV.,Stefan,Membre,www.stefanengler.ch,Engler,2768,M-E,Le Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2768.jpg
