,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages
0,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10852,20010080,Réforme de la direction de l'Etat,2012-03-14T12:50:01Z,,Antrag der Minderheit Joder,Antrag der Mehrheit,7112,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
1,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10853,20010080,Réforme de la direction de l'Etat,2012-03-14T12:51:52Z,,,,7113,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
2,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11498,20010080,Réforme de la direction de l'Etat,2012-09-10T15:56:03Z,,Antrag der Minderheit Gross Andreas  (Nichtabschreiben),Antrag der Mehrheit (Abschreiben),7758,Arrêté fédéral concernant la réforme de la direction de l'Etat,
3,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11500,20010080,Réforme de la direction de l'Etat,2012-09-10T15:58:33Z,,Antrag der Minderheit Moret (Eintreten),Antrag der Mehrheit (Nichteintreten),7760,Arrêté fédéral sur la réforme du gouvernement,
4,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11583,20010080,Réforme de la direction de l'Etat,2012-09-12T08:32:11Z,,Antrag der Minderheit Joder (streichen),Antrag der Mehrheit,7843,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
5,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11896,20010080,Réforme de la direction de l'Etat,2012-09-28T08:54:51Z,,,,8156,Loi sur l'organisation du gouvernement et de l'administration (LOGA),
6,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,11937,20020308,Amnistie fiscale générale,2012-09-28T08:34:44Z,,Antrag der Minderheit Pelli (Verlängerung der Behandlungsfrist um 2 Jahre),Antrag der Mehrheit (abschreiben der beiden Initiativen),8197,,
7,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,13655,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10T18:57:28Z,,Antrag der Minderheit Noser (Nichteintreten),Antrag der Mehrheit (Eintreten),9915,Loi fédérale sur les marchés publics (LMP),
8,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,13656,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10T18:59:04Z,,Antrag des Bundesrates,Antrag der Kommission,9916,Loi fédérale sur les marchés publics (LMP),
9,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,13657,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-03-10T18:59:56Z,,,,9917,Loi fédérale sur les marchés publics (LMP),
10,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14475,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-09-16T08:40:17Z,,Antrag der Minderheit Flückiger Sylvia,Antrag der Mehrheit,10735,Loi fédérale sur les marchés publics (LMP),
11,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,14677,20030445,Marchés publics. La formation d'apprentis constituerait un critère de sélection,2014-09-26T08:34:25Z,,Ablehnung der Vorlage,Annahme der Vorlage,10937,Loi fédérale sur les marchés publics (LMP),
12,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10766,20040439,Loi sur les stupéfiants. Révision,2012-03-07T12:00:29Z,,Antrag der Minderheit Baettig/Bortoluzzi (nicht eintreten),Antrag der Mehrheit (eintreten),7026,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
13,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10767,20040439,Loi sur les stupéfiants. Révision,2012-03-07T12:48:31Z,,Antrag der Minderheit Baettig/Frehner,Antrag der Mehrheit,7027,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
14,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10768,20040439,Loi sur les stupéfiants. Révision,2012-03-07T15:16:01Z,,Antrag der Minderheit Cassis/Gilli,Antrag der Mehrheit,7028,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
15,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10769,20040439,Loi sur les stupéfiants. Révision,2012-03-07T15:40:23Z,,Antrag Vischer (50.-),Antrag der Mehrheit (100.-),7029,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
16,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10770,20040439,Loi sur les stupéfiants. Révision,2012-03-07T15:41:19Z,,Antrag der Minderheit Baettig/Stahl (200.-),Antrag der Mehrheit (100.-) / Vischer (50.-),7030,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
17,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10771,20040439,Loi sur les stupéfiants. Révision,2012-03-07T15:42:30Z,,Antrag der Minderheit Baettig/Bortoluzzi,Antrag der Mehrheit,7031,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
18,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10772,20040439,Loi sur les stupéfiants. Révision,2012-03-07T16:08:05Z,,Antrag der Minderheit Schenker Silvia,Antrag der Mehrheit,7032,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
19,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10773,20040439,Loi sur les stupéfiants. Révision,2012-03-07T16:23:31Z,,Antrag der Minderheit Schenker Silvia,Antrag der Mehrheit,7033,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
20,2775,2022-02-25T11:26:06Z,706,Andrea,Caroni,10774,20040439,Loi sur les stupéfiants. Révision,2012-03-07T16:24:22Z,,Ablehnung,Annahme der Vorlage,7034,"Loi fédérale sur les stupéfiants et les substances psychotropes (Loi sur les stupéfiants, LStup)",
