firstName,,,Ada,Adrian,Adèle,Albert,Albert,Alex,Alfred,Alice,Alois,Alois,Andrea,Andrea Martina,Andreas,Andreas,Andreas,Andri,Angelo,Anna,Balthasar,Baptiste,Barbara,Barbara,Barbara,Barbara,Bastien,Beat,Beat,Beat,Beat,Benjamin,Benjamin,Benjamin,Benoît,Bernhard,Brigitte,Bruno,Bruno,Bruno,Christian,Christian,Christian,Christian,Christian,Christine,Christine,Christoph,Christophe,Claude,Claudia,Claudio,Corina,Corina,Corrado,Cédric,Céline,Céline,Céline,Damien,Daniel,Daniel,Daniela,David,Delphine,Denis,Diana,Doris,Duri,Elisabeth,Emmanuel,Eric,Erich,Erich,Esther,Fabian,Fabien,Fabio,Fathi,Felix,Flavia,Florence,Franz,Franz,Franziska,Franziska,François,Frédéric,Gabriela,Gerhard,Giovanni,Gregor,Greta,Guillaume,Géraldine,Hans,Hans,Hans-Peter,Hans-Ueli,Hans-Ulrich,Hansjörg,Hansjörg,Heinz,Heinz,Hugues,Ida,Irène,Isabelle,Isabelle,Isabelle,Jacqueline,Jacqueline,Jacques,Jacques,Jacques-André,Jean-Luc,Jean-Paul,Jean-Pierre,Jon,Judith,Jörg,Jürg,Karl,Kathrin,Katja,Kilian,Kurt,Lars,Laurence,Laurent,Leo,Lilian,Lisa,Lorenz,Lorenzo,Lukas,Léonore,Magdalena,Maja,Manfred,Manuel,Manuel,Manuela,Marcel,Marcel,Marco,Marco,Marianne,Marianne,Marie-France,Marina,Marionna,Markus,Markus,Martin,Martin,Martin,Martin,Martina,Martina,Mathias,Mattea,Matthias,Matthias Samuel,Mauro,Maximilian,Melanie,Meret,Michael,Michael,Michaël,Michel,Mike,Min Li,Monika,Mustafa,Nadine,Nadja,Nicolas,Nicolas,Nicolo,Niklaus-Samuel,Olivier,Patricia,Peter,Peter,Petra,Philipp,Philipp,Philipp Matthias,Philippe,Philippe,Piero,Pierre-Alain,Pierre-André,Prisca,Priska,Priska,Raphaël,Raymond,Regine,Regula,Roberta,Rocco,Roger,Roger,Roland Rino,Rosmarie,Samira,Samuel,Sandra,Sandra,Sarah,Sebastian,Sibel,Sidney,Silva,Simon,Simone,Sophie,Stefan,Stefania,Stefanie,Susanne,Sylvia,Tamara,Therese,Thierry,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Thomas,Tiana Angelina,Valentine,Valérie,Verena,Vincent,Werner,Yves,Yvette,Yvonne
lastName,,,Marra,Wüthrich,Thorens Goumaz,Rösti,Vitali,Farinelli,Heer,Glauser-Zufferey,Gmür,Huber,Gmür-Schönenberger,Geissbühler,Aebi,Gafner,Glarner,Silberschmidt,Barrile,Giacometti,Glättli,Hurni,Gysi,Keller-Inhelder,Schaffner,Steinemann,Girod,Arnold,Flach,Jans,Walti,Fischer,Giezendanner,Roduit,Genecand,Guhl,Crottaz,Pezzatti,Storni,Walliser,Dandrès,Imark,Lohr,Lüscher,Wasserfallen,Badertscher,Bulliard-Marbach,Eymann,Clivaz,Béglé,Friedl,Zanetti,Eichenberger-Walther,Gredig,Pardini,Wermuth,Amaudruz,Weber,Widmer,Cottier,Brélaz,Frei,Schneeberger,Zuberbühler,Klopfenstein Broggini,de la Reussille,Gutjahr,Fiala,Campell,Schneider-Schneiter,Amoos,Nussbaumer,Hess,von Siebenthal,Friedli,Molina,Fivaz,Regazzi,Derder,Wettstein,Wasserfallen,Brenzikofer,Grüter,Ruppen,Roth,Ryser,Pointet,Borloz,Suter,Andrey,Merlini,Rutz,Gysin,Barazzone,Marchand-Balet,Egloff,Grunder,Portmann,Vogt,Bigler,Brunner,Knecht,Brand,Siegenthaler,Hiltpold,Glanzmann-Hunkeler,Kälin,Chevalley,Moret,Pasquier-Eichenberger,Badran,de Quattro,Bourgeois,Nicolet,Maire,Addor,Gschwind,Grin,Pult,Bellaiche,Mäder,Grossen,Vogler,Bertschy,Christ,Baumann,Egger,Guggisberg,Fehlmann Rielle,Wehrli,Müller,Studer,Mazzone,Hess,Quadri,Reimann,Porchet,Martullo-Blocher,Riniker,Bühler,Strupler,Tornare,Weichelt,Dettling,Dobler,Chiesa,Romano,Binder-Keller,Streiff-Feller,Roth Pasquier,Carobbio Guscetti,Schlatter,Hausammann,Ritter,Candinas,Haab,Landolt,Naef,Bircher,Munz,Reynard,Meyer,Aebischer,Jauslin,Tuena,Reimann,Mettler,Schneider,Graber,Töngi,Buffat,Matter,Egger,Marti,Rüegger,Atici,Masshardt,Umbricht Pieren,Rochat Fernandez,Walder,Paganini,Gugger,Feller,von Falkenstein,Keller,Schilliger,Gössi,Hadorn,Kutter,Bregy,Bauer,Nantermod,Marchesi,Fridez,Page,Birrer-Heimo,Seiler Graf,Wismer-Felder,Mahaim,Clottu,Sauter,Rytz,Pantani,Cattaneo,Golay,Köppel,Büchel,Quadranti,Marti,Bendahan,Locher Benguerel,Sollberger,Wyss,Frehner,Arslan,Kamerzin,Semadeni,Stadler,de Montmollin,Michaud Gigon,Müller-Altermatt,Prezioso Batou,Heimgartner,Vincenz-Stauffacher,Flückiger-Bäni,Funiciello,Schläpfer,Burkart,Aeschi,Ammann,Brunner,Burgherr,Egger,Hardegger,Hurter,Matter,Müller,Rechsteiner,Weibel,de Courten,Moser,Python,Piller Carrard,Herzog,Maitre,Salzmann,Nidegger,Estermann,Feri
id,,,2726,3127,2710,3010,2761,3151,2690,2686,3001,3213,3075,2683,2670,3155,3074,3182,3104,3157,3003,3162,3026,3081,3179,3096,2685,3057,2765,2745,3044,3221,3158,3121,3073,2785,3120,2784,3208,3099,3147,3080,3024,2698,2715,3138,3017,2287,3145,3060,3035,3101,2678,3159,2751,2759,2796,3218,3192,3146,2023,3128,2766,3102,3164,3068,3117,2680,3066,2748,3217,2702,3078,2713,3153,3124,3152,2776,2788,3191,3125,3211,3076,3091,3175,3178,3171,3061,3187,3137,3042,3030,3160,3040,3083,3005,2689,3043,3098,3110,3116,3021,2772,3048,2691,2657,3119,3604,2660,3204,2762,3149,2675,3089,2738,3055,2798,2688,3173,3140,3166,2786,2787,3016,3144,3139,3150,3206,3071,3100,3012,3186,3086,2799,2752,2704,3172,3085,3209,3063,3185,3007,3190,3069,3070,3067,3025,3141,2747,3176,2666,3180,3002,2754,2770,3134,2735,3018,3142,3036,2795,3087,2760,3109,3097,2147,3169,3181,3216,3122,3062,3168,3130,3084,3177,3201,3034,2781,3133,3189,3123,3115,2789,3219,3013,3029,3023,2792,3126,3131,3059,3088,3207,2778,3090,2743,3094,3202,3222,3037,3103,3000,2773,3118,3039,3082,2740,2779,3129,3114,3165,3095,3214,2750,3058,3163,2417,3184,3148,3170,2771,3161,3210,3188,2681,3154,3135,3065,2758,3056,3143,3064,3113,2763,2693,3046,2661,3174,2728,2757,2700,3203,3009,3033,3167,3092,2701,2679,2777
party,,,PSS,PSS,PES,UDC,PLR,PLR,UDC,UDC,M-E,UDC,PDC,UDC,UDC,UDF,UDC,PLR,PSS,PLR,VERT-E-S,PSS,PSS,UDC,pvl,UDC,VERT-E-S,UDC,pvl,PSS,PLR,UDC,UDC,M-E,PLR,PBD,PSS,PLR,PSS,UDC,PSS,UDC,M-E,PLR,PLR,VERT-E-S,M-E,PLD,VERT-E-S,PDC,PSS,UDC,PLR,pvl,PSS,PSS,UDC,pvl,PSS,PLR,PES,pvl,PLR,UDC,VERT-E-S,PdT,UDC,PLR,PBD,M-E,PSS,PSS,UDC,UDC,UDC,PSS,VERT-E-S,M-E,PLR,VERT-E-S,PSS,VERT-E-S,UDC,UDC,PSS,VERT-E-S,pvl,PLR,PSS,VERT-E-S,PLR,UDC,VERT-E-S,PDC,PDC,UDC,PBD,PLR,UDC,PLR,PLR,UDC,UDC,M-E,PLR,M-E,VERT-E-S,pvl,PLR,VERT-E-S,PSS,PLR,PLR,UDC,PSS,UDC,M-E,UDC,PSS,pvl,pvl,pvl,csp-ow,pvl,pvl,VERT-E-S,VERT-E-S,UDC,PSS,PLR,M-E,PEV,PES,M-E,Lega,UDC,VERT-E-S,UDC,PLR,UDC,UDC,PSS,Al,UDC,PLR,UDC,M-E,M-E,PEV,M-E,PSS,VERT-E-S,UDC,M-E,M-E,UDC,M-E,PSS,UDC,PSS,PSS,PSS,PSS,PLR,UDC,UDC,pvl,VERT-E-S,UDC,VERT-E-S,UDC,pvl,UDC,PSS,UDC,PSS,PSS,UDC,PSS,VERT-E-S,M-E,PEV,PLR,PLD,UDC,PLR,PLR,PSS,M-E,M-E,PLR,PLR,UDC,PSS,UDC,PSS,PSS,M-E,VERT-E-S,-,PLR,VERT-E-S,Lega,PLR,MCG,UDC,UDC,PBD,PSS,PSS,PSS,UDC,PSS,UDC,BastA,M-E,PSS,M-E,PLR,VERT-E-S,M-E,EàG,UDC,PLR,UDC,PSS,UDC,PLR,UDC,PDC,pvl,UDC,CSPO,PSS,UDC,UDC,UDC,M-E,pvl,UDC,pvl,VERT-E-S,PSS,UDC,M-E,UDC,UDC,UDC,PSS
affairId,affairTitle,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070428,Abroger les dispositions révisées du Code pénal concernant le système des peines,2015-12-01T12:45:32Z,,,,,,,,,,,Yes,,,,No,,,,,,,No,,No,,No,,,Yes,,,,Yes,,,,,No,,No,,,,,,Yes,,Yes,Yes,No,,,,,,,,,,,,No,,Yes,,,Yes,,,,No,,,,,,,,,,No,No,,,,Yes,,,Yes,No,,NT,Yes,,,Yes,No,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,No,,No,,,,No,Yes,No,,,,,,,,,,,,,,Yes,,Yes,,Yes,No,,,,,,NT,,,Yes,,,Yes,,,,,,,,,Yes,,,,,Yes,No,,,No,,Yes,,,No,Yes,,,,No,No,,,,,,No,,,Yes,,,,,,,,,,,,,Yes,,Yes,,No,,,,No,,,,,,,,No,,No,,,
20080512,Abolition des peines pécuniaires et réintroduction des amendes,2015-12-01T12:46:22Z,,,,,,,,,,,Yes,,,,No,,,,,,,No,,No,,No,,,Yes,,,,Yes,,,,,No,,No,,,,,,Yes,,Yes,Yes,No,,,,,,,,,,,,No,,Yes,,,Yes,,,,No,,,,,,,,,,No,No,,,,Yes,,,Yes,,,NT,Yes,,,Yes,No,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,No,,No,,,,No,Yes,NT,,,,,,,,,,,,,,Yes,,Yes,,Yes,No,,,,,,NT,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,EH,,,No,,Yes,,,No,Yes,,,,No,No,,,,,,No,,,Yes,,,,,,,,,,,,,Yes,,EH,,No,,,,No,,,,,,,,No,,No,,,
20120080,Loi sur les produits thérapeutiques. Révision,2015-12-08T08:48:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100431,Coma éthylique. Aux personnes en cause de payer les frais des séjours hospitaliers et en cellule de dégrisement!,2015-12-17T11:53:53Z,,,,,,,,,,,Yes,,,,No,,Yes,,,,,No,,No,,No,,,,,,,EH,,,,,No,,No,,,,,,No,,Yes,,No,,,,,,,,,,,,No,,Yes,,,Yes,,,,No,,,,,,,,,,No,No,,,,EH,,,,,,,Yes,,,,No,No,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,No,,No,,,,No,No,No,,,,,,,,,,,,,,,,Yes,,No,No,,,,,,No,,,Yes,,,,,,,,,,,,,,,,,EH,No,,,No,,Yes,,,,NT,,,,,No,,,,,,No,,,Yes,,,,,,,,,,,,,No,,Yes,,No,,,,,,,,,,,,,,No,,,
20100426,Importations de viande assaisonnée. Abolition du traitement préférentiel prévu dans le tarif douanier,2015-12-18T08:13:59Z,,,,,,,,,,,Yes,,,,Yes,,No,,,,,Yes,,Yes,,Yes,,,,,,,Yes,,,,,Yes,,Yes,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,Yes,,NT,,,Yes,,,,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,NT,,Yes,,,,,,,,,,,,,No,Yes,,,Yes,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,No,,Yes,Yes,,,,,,Yes,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,No,,,,No,,,,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,Yes,,,
20100417,Extension des droits des lésés dans la procédure pénale militaire,2016-03-10T08:32:07Z,,,,,,,,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,NT,,,,,,,Yes,,,,,Yes,,Yes,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,Yes,,NT,,,NT,,,,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,,,NT,,,,,NT,,Yes,,,,NT,Yes,Yes,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,,Yes,,,,,NT,,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,Yes,,,
